Year,Avg. Pace,PLAYER,TEAM,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,TS%,3PM,DEFWS,USG%,PIE,Prior MVPs
2020,99.2,Kristaps Porzingis,DAL,5,43,72,26,20.1,8.9,1.6,0.5,1.3,1.2,58.2,2.3,48,25.9,13.5,0
2020,99.2,Victor Oladipo,MIA,6,33,72,13,19.8,4.8,4.6,1.4,0.4,2.5,51.2,2.4,0.11900000000000001,28.6,10.9,0
2020,99.2,Gordon Hayward,CHA,10,44,72,24,19.6,5.9,4.1,1.2,0.3,2.1,58.4,1.9,0.10400000000000001,23.5,12.4,0
2020,99.2,Fred VanVleet,TOR,12,52,72,22,19.6,4.2,6.3,1.7,0.7,1.8,53.4,3.3,0.11,23.7,11.5,0
2020,99.2,Malik Beasley,MIN,13,37,72,8,19.6,4.4,2.4,0.8,0.2,1.6,57.0,3.5,0.054000000000000006,23.5,10.1,0
2020,99.2,Tobias Harris,PHI,1,62,72,44,19.5,6.8,3.5,0.9,0.8,1.7,59.7,1.3,138,23.7,14.5,0
2020,99.2,Anthony Edwards,MIN,13,72,72,23,19.3,4.7,2.9,1.1,0.5,2.2,52.3,2.4,48,26.4,9.4,0
2020,99.2,Kemba Walker,OKC,14,43,72,22,19.3,4.0,4.9,1.1,0.3,2.0,55.9,3.0,84,25.6,12.3,0
2020,99.2,Ja Morant,MEM,9,63,72,33,19.1,4.0,7.4,0.9,0.2,3.2,53.7,1.2,0.08199999999999999,26.7,11.3,0
2020,99.2,Michael Porter Jr.,DEN,3,61,72,40,19.0,7.3,1.1,0.7,0.9,1.3,66.3,2.8,0.08,21.4,12.5,0
2020,99.2,D'Angelo Russell,MIN,13,42,72,16,19.0,2.6,5.8,1.1,0.4,2.7,55.5,2.9,33,28.3,11.4,0
2020,99.2,Bam Adebayo,MIA,6,64,72,34,18.7,9.0,5.4,1.2,1.0,2.6,62.6,0.0,0.10800000000000001,23.3,16.1,0
2020,99.2,Norman Powell,POR,5,69,72,32,18.6,3.1,1.9,1.2,0.3,1.7,61.8,2.5,78,22.1,9.6,0
2020,99.2,Andrew Wiggins,GSW,8,71,72,38,18.6,4.9,2.4,0.9,1.0,1.8,56.8,2.0,0.11199999999999999,22.9,9.9,0
2020,99.2,Jordan Clarkson,UTA,1,68,72,49,18.4,4.0,2.5,0.9,0.1,1.7,54.9,3.1,0.1,28.6,11.5,0
2020,99.2,Eric Gordon,HOU,15,27,72,10,17.8,2.1,2.6,0.5,0.5,1.9,57.7,2.6,91,24.6,9.7,0
2020,99.2,Jrue Holiday,MIL,3,59,72,41,17.7,4.5,6.1,1.6,0.6,2.2,59.2,1.9,113,21.7,12.4,0
2020,99.2,John Collins,ATL,4,63,72,34,17.6,7.4,1.2,0.5,1.0,1.3,64.5,1.3,77,21.4,12.5,0
2020,99.2,RJ Barrett,NYK,4,72,72,41,17.6,5.8,3.0,0.7,0.3,1.9,53.5,1.7,138,22.8,9.5,0
2020,99.2,Darius Garland,CLE,13,54,72,18,17.4,2.4,6.1,1.2,0.1,3.0,54.7,1.9,81,24.5,10.1,0
2020,99.2,Kyle Lowry,TOR,12,46,72,15,17.2,5.4,7.3,1.0,0.3,2.7,59.3,2.8,79,20.9,11.5,0
2020,99.2,Dillon Brooks,MEM,9,67,72,36,17.2,2.9,2.3,1.2,0.4,1.8,51.5,1.9,99,25.6,6.6,0
2020,99.2,Evan Fournier,BOS,7,42,72,18,17.1,3.0,3.4,1.1,0.5,1.7,59.8,2.8,69,22.2,9.8,0
2020,99.2,Jonas Valanciunas,MEM,9,62,72,32,17.1,12.5,1.8,0.6,0.9,1.6,63.6,0.3,98,21.7,16.3,0
