Year,Avg. Pace,PLAYER,TEAM,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,TS%,3PM,DEFWS,USG%,PIE,MVP,Prior MVPs,DPOY
1996,90.1,Kenny Anderson,POR,5,82,82,49,17.5,4.4,7.1,2.0,0.2,2.4,54.0,1.6,129,21.7,13.9,0,0,0
1996,90.1,Mookie Blaylock,ATL,4,78,82,53,17.4,5.3,5.9,2.7,0.3,2.4,54.8,2.8,177,21.8,14.9,0,0,0
1996,90.1,Rony Seikaly,ORL,7,74,82,41,17.3,9.5,1.2,0.7,1.4,2.9,56.7,0.0,81,23.7,11.3,0,0,0
1996,90.1,Rod Strickland,WAS,8,82,82,44,17.2,4.1,8.9,1.7,0.2,3.3,53.3,0.2,0.09699999999999999,23.4,14.0,0,0,0
1996,90.1,Eddie Jones,LAL,4,80,82,54,17.2,4.1,3.4,2.4,0.6,2.1,55.9,1.9,135,20.6,11.3,0,0,0
1996,90.1,Rik Smits,IND,10,52,82,25,17.1,6.9,1.3,0.4,1.1,2.4,53.5,0.0,79,28.6,12.1,0,0,0
1996,90.1,Kevin Garnett,MIN,6,77,82,40,17.0,8.0,3.1,1.4,2.1,2.3,53.7,0.1,134,21.3,13.4,0,0,0
1996,90.1,David Wesley,BOS,15,74,82,13,16.8,3.6,7.3,2.2,0.2,2.9,56.3,1.4,48,18.7,11.1,0,0,0
1996,90.1,Detlef Schrempf,SEA,2,61,82,43,16.8,6.5,4.4,1.0,0.3,2.5,59.2,0.9,161,21.0,13.9,0,0,0
1996,90.1,Dale Ellis,DEN,12,82,82,21,16.6,3.6,2.0,0.7,0.1,1.8,53.7,2.3,42,21.1,8.0,0,0,0
1996,90.1,Kerry Kittles,NJN,13,82,82,26,16.4,3.9,3.0,1.9,0.4,1.5,52.3,1.9,0.07400000000000001,19.5,10.2,0,0,0
1996,90.1,Walt Williams,TOR,12,73,82,28,16.4,5.0,2.7,1.3,0.8,2.4,55.1,2.4,86,21.2,9.0,0,0,0
1996,90.1,Anthony Mason,CHH,5,73,82,48,16.2,11.4,5.7,1.0,0.5,2.3,58.5,0.0,0.08900000000000001,17.7,14.9,0,0,0
1996,90.1,Bryant Reeves,VAN,14,75,82,14,16.2,8.1,2.1,0.4,0.9,2.3,52.3,0.0,46,22.2,9.7,0,0,0
1996,90.1,Isaiah Rider,POR,5,76,82,44,16.1,4.0,2.6,0.6,0.3,2.8,55.7,1.3,102,22.7,9.2,0,0,0
1996,90.1,Jim Jackson,NJN,13,77,82,26,15.9,5.3,4.1,1.1,0.4,2.7,52.6,1.1,0.055999999999999994,21.0,10.3,0,0,0
1996,90.1,Sam Cassell,NJN,13,61,82,20,15.9,3.0,5.0,1.3,0.3,2.8,54.1,1.3,71,26.8,12.1,0,0,0
1996,90.1,Stephon Marbury,MIN,6,67,82,32,15.8,2.7,7.8,1.0,0.3,3.1,51.9,1.5,62,24.1,10.7,0,0,0
1996,90.1,Rick Fox,BOS,15,76,82,14,15.4,5.2,3.8,2.2,0.5,2.3,55.1,1.3,48,20.1,10.1,0,0,0
1996,90.1,Nick Van Exel,LAL,4,79,82,54,15.3,2.9,8.5,0.9,0.1,2.7,51.8,2.2,0.1,20.6,11.9,0,0,0
1996,90.1,Rasheed Wallace,POR,5,62,82,37,15.1,6.8,1.2,0.8,1.0,1.8,58.8,0.1,141,21.5,12.5,0,0,0
1996,90.1,Clifford Robinson,POR,5,81,82,48,15.1,4.0,3.2,1.2,0.8,2.1,51.9,1.5,131,19.6,8.2,0,0,0
1996,90.1,Michael Finley,DAL,11,83,82,23,15.0,4.5,2.7,0.8,0.3,2.0,53.0,1.2,92,21.8,10.9,0,0,0
1996,90.1,Eric Williams,BOS,15,72,82,13,15.0,4.6,1.8,1.0,0.2,1.9,53.3,0.0,42,20.5,7.5,0,0,0
1996,90.1,Sean Elliott,SAS,13,39,82,11,14.9,4.9,3.2,0.6,0.6,2.3,52.9,1.1,46,21.8,9.0,0,0,0
1996,90.1,Elden Campbell,LAL,4,77,82,52,14.9,8.0,1.6,0.6,1.5,1.7,52.0,0.0,113,22.1,10.9,0,0,0
1996,90.1,Bryant Stith,DEN,12,52,82,13,14.9,4.2,2.6,1.2,0.4,1.9,54.8,1.3,71,19.8,9.3,0,0,0
1996,90.1,Loy Vaught,LAC,8,82,82,36,14.9,10.0,1.3,1.0,0.3,1.7,52.3,0.0,0.052000000000000005,20.6,12.9,0,0,0
1996,90.1,Marcus Camby,TOR,12,63,82,24,14.8,6.3,1.5,1.0,2.1,2.1,52.3,0.0,87,23.7,10.7,0,0,0
1996,90.1,Dell Curry,CHH,5,68,82,43,14.8,3.1,1.7,0.9,0.2,1.4,56.1,1.9,65,22.2,10.0,0,0,0
1996,90.1,Allan Houston,NYK,3,81,82,56,14.8,3.0,2.2,0.5,0.2,2.1,53.1,1.8,145,21.8,7.8,0,0,0
1996,90.1,Joe Dumars,DET,5,79,82,53,14.7,2.4,4.0,0.7,0.0,1.6,58.6,2.1,109,18.6,10.6,0,0,0
