Year,Avg. Pace,PLAYER,TEAM,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,AST%,AST/TO,3PM,+/-,OFFRTG,DEFRTG,DEFWS,eFG%,TS%,USG%,PIE,Prior MVPs
2020,99.2,DeMar DeRozan,SAS,10,61,72,27,21.6,4.2,6.9,0.9,0.2,2.0,30.9,3.55,0.3,-1.7,113.0,115.5,0.05,50.5,59.1,25.5,13.9,0
2020,99.2,Jimmy Butler,MIA,6,52,72,33,21.5,6.9,7.1,2.1,0.3,2.1,34.5,3.39,0.5,3.8,112.1,106.9,135,51.4,60.7,25.9,18.4,0
2020,99.2,Pascal Siakam,TOR,12,56,72,21,21.4,7.2,4.5,1.1,0.7,2.3,19.5,1.92,1.3,2.3,114.4,111.4,96,49.3,54.7,26.1,11.9,0
2020,99.2,Jamal Murray,DEN,3,48,72,31,21.2,4.0,4.8,1.3,0.3,2.3,19.7,2.14,2.7,6.3,118.6,110.6,0.10400000000000001,55.9,59.2,24.4,11.7,0
2020,99.2,Malcolm Brogdon,IND,8,56,72,27,21.2,5.3,5.9,0.9,0.3,2.1,27.1,2.86,2.6,-0.6,110.6,111.1,95,52.7,56.1,25.7,12.8,0
2020,99.2,Christian Wood,HOU,15,41,72,12,21.0,9.6,1.7,0.8,1.2,2.0,8.9,0.89,1.9,-2.4,108.8,112.6,76,57.4,59.1,25.5,13.9,0
2020,99.2,John Wall,HOU,15,40,72,12,20.6,3.2,6.9,1.1,0.8,3.5,36.5,1.95,2.0,-4.2,106.1,111.8,0.08199999999999999,45.8,50.3,31.6,11.4,0
2020,99.2,Terry Rozier,CHA,10,69,72,32,20.4,4.4,4.2,1.3,0.4,1.9,19.3,2.29,3.2,-1.3,110.9,112.9,78,54.8,57.5,23.8,11.3,0
2020,99.2,Khris Middleton,MIL,3,68,72,45,20.4,6.0,5.4,1.1,0.1,2.6,22.7,2.08,2.2,4.3,116.7,110.5,99,54.6,58.8,24.5,12.3,0
2020,99.2,Domantas Sabonis,IND,8,62,72,29,20.3,12.0,6.7,1.2,0.5,3.4,28.3,1.95,0.8,-1.5,109.6,111.5,96,56.4,60.1,23.9,15.4,0
2020,99.2,Caris LeVert,IND,8,47,72,24,20.2,4.6,5.2,1.4,0.6,2.2,25.5,2.4,1.8,-0.1,111.9,112.1,0.08,49.3,53.1,27.9,11.6,0
2020,99.2,Kristaps Porzingis,DAL,5,43,72,26,20.1,8.9,1.6,0.5,1.3,1.2,8.1,1.33,2.3,0.2,116.0,115.3,48,54.7,58.2,25.9,13.5,0
2020,99.2,Victor Oladipo,MIA,6,33,72,13,19.8,4.8,4.6,1.4,0.4,2.5,23.3,1.82,2.4,-2.2,106.5,108.8,0.11900000000000001,47.6,51.2,28.6,10.9,0
2020,99.2,Gordon Hayward,CHA,10,44,72,24,19.6,5.9,4.1,1.2,0.3,2.1,18.9,1.99,1.9,0.4,111.0,110.3,0.10400000000000001,53.7,58.4,23.5,12.4,0
2020,99.2,Fred VanVleet,TOR,12,52,72,22,19.6,4.2,6.3,1.7,0.7,1.8,26.4,3.45,3.3,2.7,113.6,110.2,0.11,48.9,53.4,23.7,11.5,0
2020,99.2,Malik Beasley,MIN,13,37,72,8,19.6,4.4,2.4,0.8,0.2,1.6,11.4,1.47,3.5,-5.3,107.9,115.0,0.054000000000000006,54.7,57.0,23.5,10.1,0
2020,99.2,Tobias Harris,PHI,1,62,72,44,19.5,6.8,3.5,0.9,0.8,1.7,17.5,2.06,1.3,5.2,113.3,106.1,138,55.6,59.7,23.7,14.5,0
2020,99.2,Anthony Edwards,MIN,13,72,72,23,19.3,4.7,2.9,1.1,0.5,2.2,14.2,1.32,2.4,-3.2,110.6,115.6,48,48.8,52.3,26.4,9.4,0
2020,99.2,Kemba Walker,OKC,14,43,72,22,19.3,4.0,4.9,1.1,0.3,2.0,23.3,2.41,3.0,2.2,114.5,111.4,84,51.4,55.9,25.6,12.3,0
2020,99.2,Ja Morant,MEM,9,63,72,33,19.1,4.0,7.4,0.9,0.2,3.2,32.1,2.29,1.2,1.7,114.7,112.1,0.08199999999999999,48.7,53.7,26.7,11.3,0
2020,99.2,Michael Porter Jr.,DEN,3,61,72,40,19.0,7.3,1.1,0.7,0.9,1.3,5.2,0.91,2.8,5.9,120.2,111.9,0.08,64.6,66.3,21.4,12.5,0
2020,99.2,D'Angelo Russell,MIN,13,42,72,16,19.0,2.6,5.8,1.1,0.4,2.7,32.3,2.18,2.9,-4.6,109.7,116.8,33,52.3,55.5,28.3,11.4,0
2020,99.2,Bam Adebayo,MIA,6,64,72,34,18.7,9.0,5.4,1.2,1.0,2.6,26.7,2.05,0.0,0.4,110.2,109.6,0.10800000000000001,57.1,62.6,23.3,16.1,0
2020,99.2,Norman Powell,POR,5,69,72,32,18.6,3.1,1.9,1.2,0.3,1.7,8.9,1.08,2.5,1.1,114.3,112.5,78,57.0,61.8,22.1,9.6,0
2020,99.2,Andrew Wiggins,GSW,8,71,72,38,18.6,4.9,2.4,0.9,1.0,1.8,11.0,1.33,2.0,0.0,108.9,109.1,0.11199999999999999,54.3,56.8,22.9,9.9,0
2020,99.2,Jordan Clarkson,UTA,1,68,72,49,18.4,4.0,2.5,0.9,0.1,1.7,14.9,1.46,3.1,4.4,115.8,108.0,0.1,52.2,54.9,28.6,11.5,0
2020,99.2,Eric Gordon,HOU,15,27,72,10,17.8,2.1,2.6,0.5,0.5,1.9,14.7,1.39,2.6,-2.5,106.8,110.1,91,52.7,57.7,24.6,9.7,0
2020,99.2,Jrue Holiday,MIL,3,59,72,41,17.7,4.5,6.1,1.6,0.6,2.2,25.3,2.81,1.9,6.4,117.9,108.8,113,57.0,59.2,21.7,12.4,0
2020,99.2,John Collins,ATL,4,63,72,34,17.6,7.4,1.2,0.5,1.0,1.3,6.5,0.93,1.3,2.9,116.0,111.7,77,61.0,64.5,21.4,12.5,0
2020,99.2,RJ Barrett,NYK,4,72,72,41,17.6,5.8,3.0,0.7,0.3,1.9,13.4,1.56,1.7,1.9,110.0,107.2,138,49.9,53.5,22.8,9.5,0
