Year,Avg. Pace,PLAYER,TEAM,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,AST%,AST/TO,3PM,+/-,OFFRTG,DEFRTG,DEFWS,eFG%,TS%,USG%,PIE,MVP,Prior MVPs,DPOY
1996,90.1,Shawn Kemp,SEA,2,81,82,56,18.7,10.0,1.9,1.5,1.0,3.5,9.8,0.55,0.1,5.7,109.4,100.7,135,51.6,58.3,26.0,14.0,0,0,0
1996,90.1,Shareef Abdur-Rahim,VAN,14,80,82,13,18.7,6.9,2.2,1.0,1.0,2.8,12.0,0.78,0.1,-7.5,99.1,110.4,33,45.6,51.8,27.3,11.1,0,0,0
1996,90.1,Joe Smith,GSW,10,80,82,28,18.7,8.5,1.6,0.9,1.1,2.4,7.0,0.65,0.2,-2.7,106.6,110.3,38,45.9,51.2,23.7,9.9,0,0,0
1996,90.1,Antonio McDyess,DEN,12,74,82,19,18.3,7.3,1.4,0.9,1.7,2.7,7.9,0.53,0.1,-5.0,101.0,107.9,0.059000000000000004,46.6,50.9,26.5,9.6,0,0,0
1996,90.1,Dominique Wilkins,SAS,13,63,82,14,18.2,6.4,1.9,0.6,0.5,2.1,11.8,0.88,1.1,-6.4,102.9,114.3,-8,45.3,51.7,29.1,11.9,0,0,0
1996,90.1,Christian Laettner,ATL,4,82,82,56,18.1,8.8,2.7,1.2,0.8,2.7,13.3,1.02,0.4,7.1,108.1,97.6,185,50.0,56.2,23.2,14.2,0,0,0
1996,90.1,Derrick Coleman,PHI,14,57,82,18,18.1,10.1,3.4,0.9,1.3,3.2,16.1,1.05,0.6,-3.6,102.1,107.7,65,45.5,51.8,23.7,12.7,0,0,0
1996,90.1,Clyde Drexler,HOU,2,62,82,46,18.0,6.0,5.7,2.0,0.6,2.5,26.1,2.27,1.9,5.9,108.4,100.5,0.14800000000000002,50.8,54.8,22.7,13.4,0,0,0
1996,90.1,David Robinson,SAS,13,6,82,3,17.7,8.5,1.3,1.0,1.0,1.3,11.1,1.0,0.0,3.5,102.5,94.7,147,50.0,55.9,32.2,20.5,0,1,0
1996,90.1,Antoine Walker,BOS,15,82,82,15,17.5,9.0,3.2,1.3,0.6,2.8,15.0,1.14,0.6,-6.8,103.0,111.4,23,44.5,47.4,24.9,9.4,0,0,0
1996,90.1,Kenny Anderson,POR,5,82,82,49,17.5,4.4,7.1,2.0,0.2,2.4,31.0,3.03,1.6,4.2,107.6,102.3,129,48.5,54.0,21.7,13.9,0,0,0
1996,90.1,Mookie Blaylock,ATL,4,78,82,53,17.4,5.3,5.9,2.7,0.3,2.4,27.2,2.5,2.8,7.5,109.2,98.8,177,52.8,54.8,21.8,14.9,0,0,0
1996,90.1,Rony Seikaly,ORL,7,74,82,41,17.3,9.5,1.2,0.7,1.4,2.9,6.4,0.42,0.0,-0.8,105.2,106.0,81,50.7,56.7,23.7,11.3,0,0,0
1996,90.1,Rod Strickland,WAS,8,82,82,44,17.2,4.1,8.9,1.7,0.2,3.3,36.6,2.69,0.2,1.0,106.5,104.9,0.09699999999999999,47.2,53.3,23.4,14.0,0,0,0
1996,90.1,Eddie Jones,LAL,4,80,82,54,17.2,4.1,3.4,2.4,0.6,2.1,14.9,1.6,1.9,3.3,106.2,101.9,135,50.8,55.9,20.6,11.3,0,0,0
1996,90.1,Rik Smits,IND,10,52,82,25,17.1,6.9,1.3,0.4,1.1,2.4,8.3,0.53,0.0,1.9,107.5,104.6,79,48.7,53.5,28.6,12.1,0,0,0
1996,90.1,Kevin Garnett,MIN,6,77,82,40,17.0,8.0,3.1,1.4,2.1,2.3,13.9,1.35,0.1,1.5,104.3,102.2,134,50.2,53.7,21.3,13.4,0,0,0
1996,90.1,David Wesley,BOS,15,74,82,13,16.8,3.6,7.3,2.2,0.2,2.9,28.6,2.55,1.4,-5.5,103.2,109.6,48,52.1,56.3,18.7,11.1,0,0,0
1996,90.1,Detlef Schrempf,SEA,2,61,82,43,16.8,6.5,4.4,1.0,0.3,2.5,20.0,1.77,0.9,8.1,111.2,99.1,161,53.1,59.2,21.0,13.9,0,0,0
1996,90.1,Dale Ellis,DEN,12,82,82,21,16.6,3.6,2.0,0.7,0.1,1.8,10.0,1.13,2.3,-6.0,101.3,109.7,42,49.8,53.7,21.1,8.0,0,0,0
1996,90.1,Kerry Kittles,NJN,13,82,82,26,16.4,3.9,3.0,1.9,0.4,1.5,13.9,1.96,1.9,-3.3,102.5,106.9,0.07400000000000001,49.3,52.3,19.5,10.2,0,0,0
1996,90.1,Walt Williams,TOR,12,73,82,28,16.4,5.0,2.7,1.3,0.8,2.4,12.8,1.13,2.4,-0.7,104.7,105.8,86,51.6,55.1,21.2,9.0,0,0,0
1996,90.1,Anthony Mason,CHH,5,73,82,48,16.2,11.4,5.7,1.0,0.5,2.3,21.6,2.51,0.0,1.6,108.7,106.7,0.08900000000000001,52.5,58.5,17.7,14.9,0,0,0
1996,90.1,Bryant Reeves,VAN,14,75,82,14,16.2,8.1,2.1,0.4,0.9,2.3,10.6,0.91,0.0,-7.1,99.4,109.4,46,48.6,52.3,22.2,9.7,0,0,0
1996,90.1,Isaiah Rider,POR,5,76,82,44,16.1,4.0,2.6,0.6,0.3,2.8,12.9,0.93,1.3,2.6,107.7,103.8,102,51.4,55.7,22.7,9.2,0,0,0
1996,90.1,Jim Jackson,NJN,13,77,82,26,15.9,5.3,4.1,1.1,0.4,2.7,19.1,1.52,1.1,-5.7,100.6,108.4,0.055999999999999994,47.3,52.6,21.0,10.3,0,0,0
1996,90.1,Sam Cassell,NJN,13,61,82,20,15.9,3.0,5.0,1.3,0.3,2.8,31.3,1.82,1.3,-1.1,103.5,105.3,71,48.2,54.1,26.8,12.1,0,0,0
1996,90.1,Stephon Marbury,MIN,6,67,82,32,15.8,2.7,7.8,1.0,0.3,3.1,37.3,2.49,1.5,-2.3,104.2,107.6,62,46.6,51.9,24.1,10.7,0,0,0
1996,90.1,Rick Fox,BOS,15,76,82,14,15.4,5.2,3.8,2.2,0.5,2.3,17.5,1.61,1.3,-4.7,103.0,109.1,48,50.9,55.1,20.1,10.1,0,0,0
1996,90.1,Nick Van Exel,LAL,4,79,82,54,15.3,2.9,8.5,0.9,0.1,2.7,35.8,3.17,2.2,3.2,108.5,104.7,0.1,48.4,51.8,20.6,11.9,0,0,0
1996,90.1,Rasheed Wallace,POR,5,62,82,37,15.1,6.8,1.2,0.8,1.0,1.8,6.7,0.65,0.1,5.3,107.6,98.7,141,56.5,58.8,21.5,12.5,0,0,0
1996,90.1,Clifford Robinson,POR,5,81,82,48,15.1,4.0,3.2,1.2,0.8,2.1,13.7,1.52,1.5,3.5,106.9,102.3,131,48.4,51.9,19.6,8.2,0,0,0
1996,90.1,Michael Finley,DAL,11,83,82,23,15.0,4.5,2.7,0.8,0.3,2.0,14.7,1.37,1.2,-3.8,99.2,104.7,92,49.1,53.0,21.8,10.9,0,0,0
1996,90.1,Eric Williams,BOS,15,72,82,13,15.0,4.6,1.8,1.0,0.2,1.9,8.7,0.93,0.0,-5.3,102.8,109.4,42,45.7,53.3,20.5,7.5,0,0,0
1996,90.1,Sean Elliott,SAS,13,39,82,11,14.9,4.9,3.2,0.6,0.6,2.3,16.1,1.39,1.1,-4.5,102.9,109.3,46,46.8,52.9,21.8,9.0,0,0,0
1996,90.1,Elden Campbell,LAL,4,77,82,52,14.9,8.0,1.6,0.6,1.5,1.7,8.7,0.97,0.0,2.2,105.7,102.2,113,47.0,52.0,22.1,10.9,0,0,0
1996,90.1,Bryant Stith,DEN,12,52,82,13,14.9,4.2,2.6,1.2,0.4,1.9,12.5,1.32,1.3,-3.2,102.0,106.7,71,47.4,54.8,19.8,9.3,0,0,0
1996,90.1,Loy Vaught,LAC,8,82,82,36,14.9,10.0,1.3,1.0,0.3,1.7,7.0,0.8,0.0,-5.1,101.0,108.6,0.052000000000000005,50.1,52.3,20.6,12.9,0,0,0
1996,90.1,Marcus Camby,TOR,12,63,82,24,14.8,6.3,1.5,1.0,2.1,2.1,9.2,0.72,0.0,-0.5,103.6,104.3,87,48.3,52.3,23.7,10.7,0,0,0
1996,90.1,Dell Curry,CHH,5,68,82,43,14.8,3.1,1.7,0.9,0.2,1.4,10.4,1.27,1.9,0.8,108.2,106.6,65,53.5,56.1,22.2,10.0,0,0,0
1996,90.1,Allan Houston,NYK,3,81,82,56,14.8,3.0,2.2,0.5,0.2,2.1,11.7,1.07,1.8,1.3,101.3,99.4,145,49.5,53.1,21.8,7.8,0,0,0
1996,90.1,Joe Dumars,DET,5,79,82,53,14.7,2.4,4.0,0.7,0.0,1.6,18.5,2.48,2.1,4.1,109.3,103.8,109,53.5,58.6,18.6,10.6,0,0,0
1996,90.1,Cedric Ceballos,PHX,6,50,82,29,14.6,6.6,1.3,0.7,0.5,1.7,7.3,0.75,0.5,2.1,109.6,106.4,62,47.8,52.2,24.3,10.3,0,0,0
1996,90.1,Jeff Hornacek,UTA,1,82,82,64,14.5,2.9,4.4,1.5,0.3,1.6,21.0,2.69,0.9,9.5,115.9,100.2,132,52.5,59.6,19.4,12.5,0,0,0
1996,90.1,Doug Christie,TOR,12,81,82,29,14.5,5.3,3.9,2.5,0.6,2.5,16.5,1.58,1.8,-1.5,103.7,105.7,92,49.5,54.3,18.3,10.4,0,0,0
1996,90.1,Todd Day,BOS,15,81,82,14,14.5,4.1,1.4,1.3,0.6,1.6,8.5,0.92,1.6,-3.6,103.7,110.1,0.03,46.1,51.4,23.3,8.5,0,0,0
1996,90.1,Chris Mullin,GSW,10,79,82,27,14.5,4.0,4.1,1.6,0.4,2.4,19.5,1.68,1.1,-3.5,105.0,110.2,35,60.5,64.5,17.2,12.0,0,0,0
1996,90.1,Anthony Peeler,VAN,14,72,82,12,14.5,3.4,3.6,1.5,0.2,2.2,20.8,1.63,1.8,-6.3,97.8,108.0,55,46.1,48.7,24.4,9.1,0,0,0
1996,90.1,John Stockton,UTA,1,82,82,64,14.4,2.8,10.5,2.0,0.2,3.0,45.0,3.47,0.9,8.0,114.1,101.7,127,59.8,65.6,18.3,16.7,0,0,0
1996,90.1,Robert Pack,DAL,11,54,82,12,14.3,2.7,8.4,1.7,0.1,4.0,43.5,2.08,0.6,-5.0,97.7,105.3,0.08800000000000001,41.5,48.2,24.1,10.9,0,0,0
1996,90.1,Lindsey Hunter,DET,5,82,82,54,14.2,2.8,1.9,1.6,0.3,1.2,8.8,1.6,2.0,3.0,109.0,104.6,0.10099999999999999,48.4,51.5,19.8,7.4,0,0,0
1996,90.1,Dino Radja,BOS,15,25,82,6,14.0,8.4,1.9,0.9,1.9,2.8,9.2,0.69,0.0,-2.8,99.9,103.3,0.10800000000000001,44.0,47.1,22.4,9.9,0,0,0
1996,90.1,Hersey Hawkins,SEA,2,82,82,57,13.9,3.9,3.0,1.9,0.1,1.6,14.3,1.92,1.7,6.6,109.7,99.7,145,55.4,61.6,16.8,12.2,0,0,0
1996,90.1,Rex Chapman,PHX,6,65,82,31,13.8,2.8,2.8,0.8,0.1,1.5,15.9,1.9,1.7,1.5,109.6,107.0,57,51.7,55.1,22.1,10.1,0,0,0
1996,90.1,John Starks,NYK,3,77,82,55,13.8,2.7,2.8,1.2,0.1,2.1,19.9,1.37,1.9,2.8,103.1,97.9,131,51.9,55.5,24.0,11.8,0,0,0
1996,90.1,Mahmoud Abdul-Rauf,SAC,9,75,82,32,13.7,1.6,2.5,0.7,0.1,1.6,15.5,1.59,1.3,-1.9,102.8,107.6,51,49.6,52.4,22.9,8.2,0,0,0
1996,90.1,Danny Manning,PHX,6,77,82,37,13.5,6.1,2.2,1.1,1.0,2.1,13.6,1.07,0.1,1.5,108.2,105.2,71,54.0,57.4,22.3,11.8,0,0,0
1996,90.1,Wesley Person,PHX,6,80,82,39,13.5,3.7,1.5,1.1,0.3,1.0,8.4,1.62,2.1,1.0,106.7,105.1,77,54.8,56.7,19.2,10.4,0,0,0
1996,90.1,Malik Sealy,LAC,8,80,82,35,13.5,3.0,2.1,1.6,0.6,1.9,11.4,1.07,1.0,-4.5,99.8,107.4,0.057999999999999996,43.8,50.4,21.6,8.4,0,0,0
1996,90.1,Arvydas Sabonis,POR,5,69,82,43,13.4,7.9,2.1,0.9,1.2,2.2,13.6,0.97,0.7,5.2,109.7,99.8,109,53.6,59.2,23.9,15.9,0,0,0
1996,90.1,Ray Allen,MIL,11,82,82,33,13.4,4.0,2.6,0.9,0.1,1.8,13.3,1.41,1.4,-0.8,105.4,106.4,68,49.4,54.1,20.9,8.9,0,0,0
1996,90.1,Jayson Williams,NJN,13,41,82,12,13.4,13.5,1.2,0.6,0.9,2.0,6.2,0.62,0.0,-5.9,97.8,106.7,0.07400000000000001,40.9,44.3,20.5,9.5,0,0,0
1996,90.1,Chris Mills,CLE,9,80,82,41,13.4,6.2,2.5,1.1,0.5,1.5,11.1,1.65,1.1,2.7,103.7,99.9,166,50.1,54.4,17.2,10.9,0,0,0
1996,90.1,Dikembe Mutombo,ATL,4,80,82,54,13.3,11.6,1.4,0.6,3.3,2.3,6.6,0.59,0.0,5.4,105.0,96.9,0.18600000000000003,52.6,58.4,17.8,14.6,0,0,1
1996,90.1,Rodney Rogers,LAC,8,81,82,35,13.2,5.1,2.7,1.1,0.8,2.7,15.2,1.0,0.8,-1.7,103.7,106.7,64,49.8,53.0,22.1,8.7,0,0,0
1996,90.1,Toni Kukoc,CHI,1,57,82,50,13.2,4.6,4.5,1.1,0.5,1.6,23.2,2.81,0.9,8.3,113.2,98.2,0.13699999999999998,51.2,55.3,21.0,13.6,0,0,0
1996,90.1,Shawn Bradley,DAL,11,73,82,20,13.2,8.4,0.7,0.5,3.4,1.8,4.2,0.39,0.0,-3.3,97.4,102.8,0.10400000000000001,44.9,47.8,22.0,10.4,0,0,0
1996,90.1,Otis Thorpe,DET,5,79,82,51,13.1,7.9,1.7,0.7,0.2,1.8,8.9,0.91,0.0,3.6,108.7,102.6,111,53.2,56.3,19.7,10.4,0,0,0
1996,90.1,Tyrone Hill,CLE,9,74,82,40,12.9,9.9,1.2,0.9,0.4,2.0,6.5,0.63,0.0,3.3,104.3,98.7,158,60.0,62.6,17.5,13.3,0,0,0
1996,90.1,Vernon Maxwell,SAS,13,72,82,18,12.9,2.2,2.1,1.2,0.3,1.7,13.6,1.26,1.6,-4.3,100.2,107.9,0.05,43.9,47.1,24.4,6.6,0,0,0
1996,90.1,Larry Johnson,NYK,3,76,82,52,12.8,5.2,2.3,0.9,0.5,1.8,11.5,1.28,0.4,2.0,103.2,99.7,145,53.5,57.0,17.6,9.4,0,0,0
1996,90.1,Vlade Divac,CHH,5,81,82,53,12.6,9.0,3.7,1.3,2.2,2.4,17.2,1.56,0.1,3.4,110.2,104.9,92,50.0,53.3,19.3,12.0,0,0,0
1996,90.1,Horace Grant,ORL,7,67,82,35,12.6,9.0,2.4,1.5,1.0,1.5,11.2,1.65,0.0,1.3,104.0,102.1,131,51.6,54.6,15.8,12.7,0,0,0
1996,90.1,Bobby Phills,CLE,9,69,82,36,12.6,3.6,3.4,1.6,0.3,2.0,17.8,1.73,1.2,1.6,102.1,99.1,153,48.4,51.4,20.4,9.7,0,0,0
1996,90.1,Sasha Danilovic,DAL,11,56,82,35,12.5,2.4,1.8,1.0,0.2,2.1,10.3,0.88,1.5,1.0,99.3,97.5,158,51.0,55.2,19.0,7.3,0,0,0
